============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 2000000.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=800000.E+00 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000366   4.8043E+05  4.4070E+03  2.4995E+04
0000367   4.8688E+05 -4.5926E+03 -1.7349E+03
0000368   4.8417E+05  1.6353E+04  2.8551E+04
0000369   4.8733E+05 -1.0790E+04  2.4005E+04
0000370   4.8582E+05  1.7872E+04 -1.9273E+04
0000371   4.6916E+05  1.8733E+04 -1.5304E+04
0000372   4.9441E+05  9.4985E+03 -2.2110E+04
0000373   4.8909E+05 -2.9841E+04  1.4320E+04
0000374   4.7372E+05 -4.3925E+04 -3.3063E+04
0000375   4.7632E+05  4.6195E+04  8.3838E+03
0000376   4.7854E+05  1.4372E+04 -1.0084E+04
0000377   4.6713E+05  3.0803E+04  3.8179E+04
0000378   4.8477E+05 -4.1480E+04  1.0645E+04
0000379   4.6910E+05  2.5260E+04 -9.7025E+02
0000380   4.8585E+05 -2.9984E+04 -3.3779E+04
0000381   4.6691E+05  1.2884E+04 -1.6682E+04
0000382   4.7671E+05 -3.8192E+04  1.1559E+04
0000383   4.8844E+05  3.6195E+04 -7.6105E+03
0000384   4.7108E+05 -1.0166E+04 -1.9491E+04
0000385   4.7407E+05 -7.5819E+03  1.8075E+04
0000386   4.9488E+05 -1.7329E+04 -3.9084E+03
0000387   4.8521E+05  1.4300E+04 -2.1597E+04
0000388   4.8559E+05  1.0294E+04  2.4381E+04
0000389   4.7673E+05 -5.2828E+04  6.1797E+03
0000390   4.8401E+05  6.6758E+03 -2.9585E+04
0000391   4.8182E+05 -3.8560E+04  2.5361E+03
0000392   4.7799E+05 -7.1065E+04 -3.6433E+04
0000393   4.8894E+05 -1.4798E+04 -1.9013E+04
0000394   4.7801E+05 -4.3118E+03  4.5710E+03
0000395   4.8030E+05 -2.3907E+03  2.7934E+04
0000396   4.9670E+05  4.7635E+03  2.7438E+04
0000397   4.7461E+05 -4.4983E+04 -1.7084E+04
0000398   4.7207E+05 -5.4060E+03  1.3115E+04
0000399   4.9853E+05  2.6286E+04  1.9000E+04
0000400   4.7491E+05 -8.2339E+02 -3.5510E+04
0000401   4.8568E+05 -3.4254E+04  6.3872E+03
0000402   4.6954E+05  2.5592E+04 -1.8657E+04
0000403   4.7953E+05  1.0872E+04  3.1469E+02
0000404   4.7368E+05  1.2046E+04  2.7162E+04
0000405   4.7661E+05  4.6137E+04  2.7384E+04
0000406   4.8880E+05 -2.2844E+04  2.1322E+03
0000407   4.8856E+05 -2.4315E+04 -7.9115E+03
0000408   4.9116E+05 -2.9476E+03 -9.1481E+03
