============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1000000.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=160000.E-01 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000237   7.1905E+03  2.0390E+03 -4.2385E+03
0000238   6.4643E+03  1.0565E+03  2.8847E+02
0000239   9.5272E+03  6.3383E+02 -2.2983E+02
0000240   8.7904E+03 -2.9450E+03  2.4238E+02
0000241   8.8282E+03 -1.0963E+03  2.9354E+03
0000242   9.0522E+02  3.2311E+03 -1.2435E+03
0000243   3.3124E+03  1.2251E+03 -3.1261E+03
0000244   3.3775E+03  3.5700E+03 -1.3417E+03
0000245   5.0261E+03 -1.5069E+03 -3.7596E+02
0000246   9.9089E+03  8.3031E+02 -4.6265E+02
0000247   9.0416E+03 -1.3712E+03  1.1489E+03
0000248   8.0392E+03 -3.3370E+03 -3.8371E+03
0000249   8.1068E+03  2.7808E+03 -8.1666E+02
0000250   3.7621E+03 -2.7268E+03  3.6954E+03
0000251   6.7429E+03 -2.6533E+03  3.8389E+03
0000252   7.9812E+03  1.8612E+03  1.2728E+02
0000253   9.1360E+03  5.9787E+02  5.6287E+02
0000254   5.0742E+03 -1.4226E+03  1.5812E+03
0000255   7.3767E+03 -3.3275E+03 -1.4624E+03
0000256   6.3801E+03  2.5425E+02 -1.3772E+03
0000257   1.0375E+04  2.1187E+03  2.3284E+02
0000258   8.8656E+03  1.1530E+03  1.3886E+03
0000259   6.5793E+03  1.2195E+02  1.4527E+03
0000260   8.0039E+03  1.9040E+02 -3.9266E+03
0000261   7.2818E+03  2.7976E+03 -2.8035E+03
0000262   8.9695E+03  6.1659E+02  3.6484E+02
0000263   7.4165E+03 -2.3988E+03 -1.0753E+02
0000264   7.7007E+03 -1.8921E+02  2.7000E+03
0000265   8.5724E+03 -1.3266E+03  1.3317E+03
0000266   7.2808E+03  2.7554E+03  4.8969E+02
0000267   4.4722E+03 -5.2638E+02 -7.7283E+01
0000268   8.8436E+03 -2.2978E+03 -1.9508E+03
0000269   7.9926E+03 -1.2244E+03  9.1835E+02
0000270   7.4472E+03 -4.3045E+03 -1.8449E+03
0000271   6.0468E+03 -1.6961E+03  2.5413E+03
0000272   7.1638E+03 -2.4307E+03 -1.6811E+03
0000273   7.3844E+03  3.1336E+03 -1.7666E+03
0000274   8.0942E+03 -1.2804E+03  4.0999E+02
0000275   7.3159E+03  3.2663E+03 -1.1291E+03
0000276   5.2917E+03  3.1470E+02  4.2934E+03
0000277   9.2155E+03  1.1295E+03 -1.1779E+03
0000278   8.6374E+03 -1.2147E+03 -2.2212E+03
0000279   4.8690E+03  2.4434E+03 -2.4550E+03
0000280   6.5964E+03 -1.5002E+03  1.4049E+03
0000281   7.2706E+03 -3.9594E+02  4.0734E+03
0000282   6.7971E+03  3.8590E+02 -3.8743E+03
0000283   7.6232E+03  1.3964E+03 -2.7919E+01
0000284   4.1024E+03  7.0424E+02  2.5269E+03
0000285   9.7018E+03 -9.7794E+02  4.8543E+02
0000286   8.6007E+03 -2.5246E+03  1.3405E+03
0000287   6.7358E+03  7.3488E+02  1.5897E+03
0000288   7.8587E+03  1.5798E+03 -1.1055E+03
0000289   5.7328E+03 -2.9038E+03 -9.4473E+02
0000290   7.3848E+03  2.6839E+02 -4.3723E+02
0000291   7.5707E+03  1.9577E+03  4.1108E+03
0000292   7.2412E+03  7.7645E+02 -2.2794E+03
0000293   9.2050E+03  4.0023E+03  1.8299E+03
0000294   7.4330E+03  3.4726E+03 -4.2893E+03
0000295   8.8191E+03 -7.0434E+02  6.7261E+02
0000296   7.5907E+03  9.3460E+01  1.3791E+03
0000297   1.0763E+03 -5.8012E+02  1.4876E+03
0000298   4.3604E+03 -1.8674E+03 -1.6908E+03
0000299   8.3703E+03  2.1160E+03 -1.4136E+03
0000300   5.2730E+03  1.1535E+03  1.7977E+03
0000301   9.3564E+03 -1.1626E+03 -3.0503E+03
0000302   7.5211E+03 -2.9855E+03 -5.4962E+02
0000303   6.7878E+03 -2.2085E+03 -5.5060E+03
0000304   3.0684E+03  7.5722E+02 -3.0904E+01
0000305   8.3350E+03  7.2560E+02  3.9230E+03
0000306   8.2761E+03  3.2652E+02  2.7056E+03
0000307   8.2932E+03  1.2190E+03  1.1144E+03
0000308   8.1731E+03 -1.8888E+03  2.4698E+03
0000309   9.0757E+03  1.9480E+03  2.2755E+03
0000310   9.2987E+03  4.3375E+02  1.5672E+03
0000311   6.8637E+03  5.9052E+02  3.3304E+03
0000312   8.2452E+03 -4.6234E+03 -2.5947E+03
0000313   9.1411E+03  7.7713E+02 -1.0838E+02
0000314   5.0892E+03  8.5073E+01 -1.5616E+03
0000315   2.7419E+03 -4.4821E+02 -1.4660E+02
0000316   9.7911E+03 -2.4937E+03  1.6720E+03
0000317   7.3961E+03  2.2427E+03 -2.2692E+03
0000318   7.8999E+03  2.3565E+03 -4.1160E+03
0000319   5.5002E+03 -9.0982E+02  7.0021E+02
0000320   8.6279E+03 -4.6835E+02  1.3634E+03
0000321   5.8382E+03  2.8392E+03  2.9880E+03
0000322   9.7972E+03 -3.6063E+02  1.2115E+03
0000323   5.4212E+03 -2.5521E+03  1.5715E+03
0000324   7.0423E+03  3.7294E+03 -1.9433E+03
0000325   9.5275E+03 -1.4358E+03  1.1636E+03
0000326   7.4332E+03  8.2692E+02  2.9453E+03
0000327   6.1425E+03  1.4200E+03  3.0073E+03
0000328   1.6319E+03 -2.7324E+03 -3.9488E+03
0000329   4.8619E+03  2.1572E+03 -3.3459E+03
0000330   7.4808E+03 -8.0507E+02 -1.3727E+03
0000331   7.9515E+03 -2.3019E+03 -2.8585E+03
0000332   9.0600E+03 -3.6488E+02  2.1039E+03
0000333   9.0182E+03 -8.4047E+02 -8.9114E+02
0000334   6.9373E+03  4.1397E+03 -5.3135E+00
0000335   9.1114E+03 -1.0575E+03 -2.6623E+02
0000336   6.4579E+03 -2.5854E+03  1.0057E+03
0000337   7.6865E+03  1.3508E+03 -9.3069E+02
0000338   6.6457E+03  4.7862E+02 -1.2547E+03
0000339   6.1705E+03  3.0690E+03  2.3001E+03
0000340   8.5891E+03  1.3073E+03 -1.7128E+03
0000341   9.1497E+03 -1.6717E+03  2.3963E+03
0000342   6.7377E+03 -3.5856E+02  3.2355E+02
0000343   7.2971E+03  3.0187E+03 -5.4400E+03
0000344   4.0306E+03 -4.4740E+02  1.5740E+02
0000345   8.2458E+03  2.3200E+03 -2.8788E+02
0000346   6.3871E+03 -3.5220E+03  3.0380E+03
0000347   3.3450E+03 -4.3068E+03 -2.6955E+03
0000348   9.9705E+03 -5.5973E+02  2.3995E+03
0000349   6.4283E+03 -1.4538E+03  6.9429E+02
0000350   4.1421E+03 -4.2235E+03 -2.2253E+02
0000351   6.1545E+03 -5.8540E+01 -3.3034E+03
0000352   7.9942E+03 -1.5362E+02 -1.5177E+02
0000353   8.6482E+03  1.7284E+03  2.8215E+02
0000354   8.2482E+03 -1.9670E+02 -9.8551E+02
0000355   5.4306E+03 -2.6601E+01  3.5901E+03
0000356   9.5264E+03  1.2211E+03 -9.0299E+02
0000357   6.4774E+03 -1.9996E+03 -3.4167E+03
0000358   6.2780E+03  2.4614E+03  3.7206E+03
0000359   9.2698E+03  1.7978E+02 -1.4257E+02
0000360   5.3375E+03  1.5773E+03 -3.7386E+03
0000361   9.3652E+03 -7.8288E+02  3.2607E+03
0000362   9.2834E+03  1.0460E+03 -6.4132E+02
0000363   8.2134E+03  1.5101E+03  3.4901E+02
0000364   8.7474E+03  4.0803E+02 -3.1589E+03
0000365   7.9184E+03 -2.1294E+03  1.1654E+03
0000366   6.1584E+03  1.3685E+03 -2.7573E+03
0000367   5.9689E+03  4.4495E+03  8.8781E+02
0000368   8.5465E+03 -5.3151E+02  3.5208E+03
0000369   5.6665E+03  5.7521E+03 -8.0450E+02
0000370   6.0257E+03  4.1347E+03 -2.5216E+03
0000371   1.0343E+04 -3.6310E+02 -1.0555E+02
0000372   4.6527E+03  2.9778E+03 -4.2770E+02
0000373   7.4723E+03  2.6091E+01  1.4034E+03
0000374   5.6409E+03  2.9176E+03 -1.7247E+02
0000375   8.6567E+03 -1.4282E+03  1.1695E+03
0000376   6.7510E+03  3.1206E+03 -3.7632E+03
0000377   6.8822E+03 -3.5000E+03  2.5218E+02
0000378   3.6715E+03  1.2431E+03 -6.8442E+02
0000379   6.9603E+03  2.5745E+03  2.6325E+03
0000380   5.5386E+03  9.4910E+02  2.7875E+03
0000381   5.1315E+03 -4.2738E+03 -3.0830E+03
0000382   5.2770E+03 -1.7331E+03  5.7240E+01
0000383   8.6226E+03 -3.8221E+02 -1.7027E+02
0000384   6.9707E+03 -2.4548E+03  1.5192E+03
0000385   7.6245E+03 -3.6472E+03  6.1482E+02
0000386   8.5075E+03 -1.4988E+03 -1.2428E+03
0000387   5.4275E+03  1.8640E+03 -7.0269E+02
0000388   5.8910E+03  4.0414E+02 -1.2612E+01
0000389   8.2466E+03 -2.2050E+03 -5.4859E+02
0000390   8.2918E+03  3.0414E+02  1.7944E+03
0000391   3.0748E+03 -3.3434E+01 -7.4597E+02
0000392   1.0089E+04 -1.3942E+03  1.4910E+03
0000393   8.6451E+03 -2.2506E+03 -1.1674E+03
0000394   7.4552E+03 -1.9885E+03  4.0109E+03
0000395   5.7613E+03  1.2411E+03  3.5265E+03
0000396   7.1515E+03  2.2192E+03  1.8942E+03
0000397   5.2489E+03 -1.5637E+03 -4.6346E+03
0000398   8.2322E+03 -8.0814E+02 -1.9825E+03
0000399   5.0711E+03 -9.4782E+02  1.9589E+03
0000400   5.7424E+03 -2.8955E+03 -1.6340E+01
0000401   7.9351E+03 -3.1603E+03  2.2525E+03
0000402   2.0070E+03  1.4636E+03 -5.7293E+02
