============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Au (79)   Ion Mass= 196.9670
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - GaAs
  Layer # 1 - Bottom Depth=200000.E-02 A
  Layer # 1 - Density =0005.3200 g/cm3
  Layer # 1 -  50 % of Ga
  Layer # 1 -  50 % of As
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000202   3.3996E+02  3.3135E+01  2.0959E+01
0000203   2.1458E+02  5.1874E+01  4.2971E+00
0000204   3.7952E+02 -4.8997E+01  1.4329E+02
0000205   4.6826E+02  3.2821E+01 -1.7408E+01
0000206   1.1144E+02 -7.4910E+01 -5.1397E+01
0000207   3.0238E+02  3.4296E+01 -2.9379E+01
0000208   3.4056E+02 -2.7949E+01 -8.2310E+00
0000209   2.9263E+02 -4.4229E+01  8.0705E+01
0000210   2.7442E+02 -7.4416E+01  2.8467E+01
0000211   4.0162E+02 -6.1032E+01 -1.3109E+02
0000212   2.7908E+02  8.4502E+00  6.1196E+01
0000213   4.7966E+02  7.0495E+01  1.0572E+02
0000214   2.3062E+02 -2.9416E+01 -3.5864E+01
0000215   2.1672E+02  3.0738E+01 -9.2576E+01
0000216   3.5382E+02 -9.2951E+01  1.6728E+01
0000217   3.5161E+02 -3.8120E+01 -4.9579E+01
0000218   3.3262E+02  1.0033E+02  2.8766E+01
0000219   3.1238E+02 -1.8560E+01 -6.5240E+01
0000220   2.0188E+02 -1.2021E+01 -1.3168E+01
0000221   4.4452E+02  9.2426E+01  5.8139E+01
0000222   7.7078E+01 -2.7522E+01 -7.2025E+00
0000223   4.2333E+02 -6.7432E+01 -2.4429E+02
0000224   2.4567E+02  4.5739E+00  8.6828E+01
0000225   1.2300E+02 -4.0695E+01  2.6530E+01
0000226   2.6098E+02  4.6272E+01  9.3169E+00
0000227   2.9125E+02 -3.0127E+01 -6.0307E+01
0000228   2.1933E+02  3.0535E+01  4.5842E+01
0000229   1.5538E+02  1.1252E+02  5.2340E+01
0000230   3.6016E+02  4.1996E+01 -1.0263E+01
0000231   3.8865E+02  1.7850E+02 -3.9937E+01
0000232   2.3317E+02 -3.8913E+01 -4.9397E+01
0000233   4.0129E+02  6.5503E+01  1.5624E+02
0000234   1.7715E+02  7.8687E+01 -2.6779E+01
0000235   1.7407E+02 -1.2144E+02  8.2139E+00
0000236   1.2711E+02  1.9177E+01 -4.7185E+01
0000237   4.2259E+02 -1.2959E+02  1.0491E+02
0000238   2.8271E+02 -8.5418E+01 -8.2265E+01
0000239   2.3889E+02 -6.5481E+01 -7.0036E+00
0000240   3.6236E+02 -4.5938E+01  1.8723E+02
0000241   1.9112E+02  7.6944E+01  6.1773E+01
