bin_m,mean_Se_eV_per_A,dE_keV_total,npts
1852.5000,2.843257e-05,1.416410e+06,7183
1857.5000,2.846225e-05,1.405610e+06,7179
1862.5000,2.849258e-05,1.397580e+06,7223
1867.5000,2.852331e-05,1.434860e+06,7244
1872.5000,2.855442e-05,1.417410e+06,7245
1877.5000,2.858544e-05,1.428860e+06,7268
1882.5000,2.861679e-05,1.417950e+06,7280
1887.5000,2.864799e-05,1.438450e+06,7332
1892.5000,2.868000e-05,1.441670e+06,7314
1897.5000,2.871264e-05,1.442970e+06,7336
1902.5000,2.874502e-05,1.429690e+06,7394
1907.5000,2.877688e-05,1.434990e+06,7367
1912.5000,2.880964e-05,1.442470e+06,7418
1917.5000,2.884360e-05,1.461200e+06,7425
1922.5000,2.887685e-05,1.459410e+06,7441
1927.5000,2.891031e-05,1.439520e+06,7471
1932.5000,2.894449e-05,1.459640e+06,7509
1937.5000,2.897834e-05,1.462400e+06,7494
1942.5000,2.901295e-05,1.454340e+06,7536
1947.5000,2.904807e-05,1.469330e+06,7553
1952.5000,2.908323e-05,1.470720e+06,7581
1957.5000,2.911780e-05,1.472190e+06,7589
1962.5000,2.915413e-05,1.451620e+06,7605
1967.5000,2.918992e-05,1.467320e+06,7644
1972.5000,2.922507e-05,1.472310e+06,7667
1977.5000,2.926192e-05,1.484220e+06,7680
1982.5000,2.929846e-05,1.469160e+06,7712
1987.5000,2.933547e-05,1.458510e+06,7720
1992.5000,2.937174e-05,1.472260e+06,7749
1997.5000,2.940971e-05,1.459650e+06,7764
2002.5000,2.944614e-05,1.478520e+06,7820
2007.5000,2.948476e-05,1.464290e+06,7807
2012.5000,2.952164e-05,1.463640e+06,7834
2017.5000,2.956057e-05,1.493170e+06,7887
2022.5000,2.959982e-05,1.477870e+06,7871
2027.5000,2.963840e-05,1.487680e+06,7899
2032.5000,2.967709e-05,1.468170e+06,7931
2037.5000,2.971737e-05,1.469800e+06,7944
2042.5000,2.975669e-05,1.492740e+06,7996
2047.5000,2.979692e-05,1.490040e+06,7993
2052.5000,2.983728e-05,1.492970e+06,8035
2057.5000,2.987891e-05,1.514470e+06,8057
2062.5000,2.992029e-05,1.484570e+06,8085
2067.5000,2.996100e-05,1.503620e+06,8099
2072.5000,3.000381e-05,1.502960e+06,8132
2077.5000,3.004539e-05,1.502960e+06,8159
2082.5000,3.008895e-05,1.508620e+06,8188
2087.5000,3.013121e-05,1.509130e+06,8198
2092.5000,3.017539e-05,1.503640e+06,8233
2097.5000,3.021883e-05,1.523090e+06,8267
2102.5000,3.026264e-05,1.498360e+06,8272
2107.5000,3.030688e-05,1.525570e+06,8311
2112.5000,3.035288e-05,1.527040e+06,8335
2117.5000,3.039761e-05,1.533000e+06,8377
2122.5000,3.044338e-05,1.527210e+06,8372
2127.5000,3.048978e-05,1.516220e+06,8429
2132.5000,3.053625e-05,1.548990e+06,8438
2137.5000,3.058296e-05,1.532770e+06,8491
2142.5000,3.063041e-05,1.510760e+06,8502
2147.5000,3.067798e-05,1.537100e+06,8533
2152.5000,3.072598e-05,1.540410e+06,8534
2157.5000,3.077380e-05,1.559020e+06,8625
2162.5000,3.082474e-05,1.554940e+06,8614
2167.5000,3.087373e-05,1.545740e+06,8636
2172.5000,3.092354e-05,1.551590e+06,8690
2177.5000,3.097353e-05,1.567940e+06,8700
2182.5000,3.102552e-05,1.562140e+06,8722
2187.5000,3.107686e-05,1.556500e+06,8792
2192.5000,3.112898e-05,1.557830e+06,8795
2197.5000,3.118016e-05,1.568940e+06,8827
2202.5000,3.123319e-05,1.553220e+06,8856
2207.5000,3.128615e-05,1.539720e+06,8880
