============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 2000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Silicon
  Layer # 1 - Bottom Depth=300000.E-01 A
  Layer # 1 - Density =0002.3210 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000395   1.8942E+04  2.6240E+03  1.2063E+03
0000396   1.9520E+04  3.0071E+03 -6.7894E+02
0000397   2.0537E+04 -3.5868E+02 -6.8865E+02
0000398   1.9853E+04  1.8250E+02 -1.0246E+03
0000399   1.9837E+04 -5.4155E+01 -1.1946E+03
0000400   1.9042E+04  1.3338E+03 -1.0452E+03
0000401   1.8814E+04 -8.4045E+02  1.9270E+02
0000402   1.8705E+04  1.5330E+03 -5.5218E+03
0000403   1.9371E+04 -1.4507E+03  1.9015E+03
0000404   1.9117E+04  1.3047E+03 -2.3438E+02
0000405   1.9024E+04 -3.1498E+02  9.5474E+02
0000406   1.8306E+04 -5.2544E+02 -3.0161E+03
0000407   1.9395E+04  2.2168E+03 -7.0484E+02
0000408   1.8797E+04  2.1824E+03 -8.3041E+02
0000409   1.9363E+04  7.1307E+02 -1.5428E+03
0000410   1.8702E+04  3.0219E+02 -1.0387E+03
0000411   1.8121E+04 -2.1354E+03  1.3673E+03
0000412   1.8848E+04  1.6834E+03 -4.5576E+02
0000413   1.8969E+04 -9.6367E+02 -7.6332E+02
0000414   1.8566E+04 -6.0099E+02 -5.2938E+02
0000415   1.8454E+04  2.4891E+03  2.7081E+02
0000416   1.8683E+04 -2.0152E+03  1.2516E+03
0000417   1.9227E+04 -1.6365E+03 -1.4850E+03
0000418   1.8868E+04  1.2233E+03 -2.2753E+03
0000419   1.8582E+04  2.4970E+03 -5.4903E+01
0000420   1.8772E+04 -1.3649E+03 -3.5281E+02
0000421   1.8828E+04 -5.9182E+02 -1.7427E+03
0000422   1.8775E+04 -1.6884E+03 -8.6908E+02
0000423   1.7968E+04 -1.5872E+03  3.2332E+02
0000424   1.8536E+04  2.7921E+02 -2.4055E+03
0000425   1.9903E+04  1.2547E+03  3.1399E+02
0000426   1.6200E+04 -8.6893E+02  4.2131E+03
0000427   1.7419E+04 -7.9438E+02  1.8061E+03
0000428   1.8316E+04 -4.6023E+02 -8.5904E+02
