============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1000000.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Beryllium
  Layer # 1 - Bottom Depth=150000.E+02 A
  Layer # 1 - Density =0001.8480 g/cm3
  Layer # 1 -  100 % of Be
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000394   8.0524E+06  1.1765E+05  1.0504E+05
0000395   7.9621E+06  9.3242E+04  7.2652E+04
0000396   8.1105E+06 -1.4462E+05  6.9603E+04
0000397   7.9107E+06 -2.2413E+05  3.1230E+04
0000398   8.2449E+06  1.1521E+04  4.8674E+04
0000399   8.1288E+06 -3.3458E+04  5.4501E+04
0000400   8.0154E+06  7.2813E+04 -1.3074E+05
0000401   8.0575E+06  1.5908E+05 -9.9032E+04
0000402   7.9495E+06 -8.9507E+04 -7.0523E+04
0000403   8.0570E+06 -2.4202E+05  1.4431E+05
0000404   8.0996E+06  2.5845E+02 -5.5217E+03
0000405   8.0210E+06  2.0664E+05  6.3458E+04
0000406   7.9906E+06 -1.7855E+05  1.8162E+04
0000407   8.1414E+06  1.2653E+05 -1.5393E+05
0000408   7.9851E+06 -1.1619E+05 -8.5345E+04
0000409   7.9187E+06  1.0648E+05 -1.7045E+04
0000410   8.1081E+06  6.0071E+03  1.8435E+03
0000411   8.0809E+06 -2.5734E+05  5.7852E+04
0000412   7.9261E+06 -3.4179E+04  1.7397E+05
0000413   7.9164E+06 -2.2096E+04  1.0498E+05
0000414   8.3432E+06  1.5363E+05  6.0800E+04
0000415   8.1883E+06 -1.4498E+05  9.0838E+04
0000416   8.0196E+06  8.0858E+04  1.0238E+05
0000417   8.0257E+06  2.1337E+05  1.2836E+05
0000418   7.9449E+06  6.5888E+04  7.2553E+04
0000419   8.0514E+06 -1.6417E+05 -8.9562E+04
0000420   8.1460E+06 -1.8509E+05 -3.3250E+04
0000421   8.0954E+06  3.6770E+03  1.1316E+05
0000422   8.0899E+06  5.0657E+04 -4.6818E+04
0000423   7.8465E+06  2.5328E+05  7.5684E+04
0000424   8.1273E+06 -1.5968E+05 -5.3354E+04
0000425   8.1472E+06 -6.0640E+03 -1.4970E+04
0000426   7.9750E+06 -4.9320E+04  1.2272E+05
0000427   7.9632E+06  4.1725E+04  1.4508E+05
0000428   7.9416E+06  1.0747E+05 -5.1391E+04
0000429   8.2540E+06  1.0376E+04 -2.4914E+04
0000430   7.9909E+06 -1.4807E+05  1.2506E+05
0000431   7.9448E+06  8.4487E+04  3.7389E+04
0000432   7.9351E+06 -5.6511E+04  2.2403E+04
0000433   8.0383E+06 -3.5620E+04 -1.2384E+05
0000434   8.0468E+06  3.1235E+05 -2.2998E+05
0000435   8.1513E+06 -3.9427E+05 -2.4319E+05
0000436   8.1124E+06  1.5060E+05 -2.2982E+05
0000437   8.0830E+06 -1.9617E+05 -1.4628E+04
0000438   7.9517E+06 -1.7325E+05 -1.5359E+05
0000439   8.2569E+06 -5.3286E+04 -5.2420E+04
